#Keys           100
#Texts/Key  1048576
#Steps            2
Alpha: 0000000028000010
Delta: 850a952000000000
key: 2942f36baae54a13037d19e2da69c166
Counter: 25029
key: cac264a8d74dbfef39286b007d268856
Counter: 24875
key: d438e85211a2a205fda08097200ba9f8
Counter: 24808
key: f49a401ca1b320208486de300b61944b
Counter: 25843
key: aed6fb6bd8c858c5802d45690d841c75
Counter: 26112
key: 98bf421809458d91b46392c6e54e6f93
Counter: 25988
key: 483fe1a358bf767a276abe21a22308ae
Counter: 29036
key: 51d32288c68d2c142608720da35c0eb9
Counter: 29124
key: 51ee84f04da20c3d755798fff1e74a94
Counter: 28527
key: bec0ee90fac4b0d7b425e2a8cee160df
Counter: 25805
key: 761918c0d1d40050c61ce88100429107
Counter: 26460
key: 9eb163f66ae6844387ba572cf12e4616
Counter: 25871
key: 1ebf01f389c76a494f34a3293b4ffeea
Counter: 24389
key: b2fc7d72832f75ec13638217a429d8d7
Counter: 29235
key: fe66134a04e23a21f7d4cfb9650a7f73
Counter: 28779
key: 3b51101a43edd4da22631edcd81b7240
Counter: 26397
key: 8d0870a6c37af6046885de393291e43b
Counter: 26402
key: 38eaa1cb5a16dff3b5c88abc6f6a92c9
Counter: 26228
key: 4dae111ff2a7594d7ad9c5ab2e7ddfc9
Counter: 26046
key: 2aa4316434962cc22b9999999a6f6728
Counter: 28764
key: 60f262357c7b0f518945533c914d1ed7
Counter: 26096
key: 62b422bda0a39fccfe8773d722820205
Counter: 26155
key: 4c728f31cb45a71fea9ffdba06a84ffc
Counter: 28965
key: e583a2aec850fa3e31376771ac8b5aa5
Counter: 28823
key: 4bb6fd8039d10eb723a50e085103602c
Counter: 26335
key: 2477a49a473ae1d1db4831066259d81d
Counter: 28672
key: fc4713086a62c17302a4368a99d239fc
Counter: 25859
key: 2a45d1d0e851183efe6e396b0846053d
Counter: 26049
key: 49dbf1f727eba47e4df7827bcbc7f29b
Counter: 26499
key: 186db1e7e3619ef5a38ce582d9ee2522
Counter: 25632
key: e9f8e40b3d3e241372e1c60aae1f30cc
Counter: 25138
key: 70a8c105408d6d9401ade6190e53b693
Counter: 25687
key: 42af3522b269a0b9ae4b7392c13ddfba
Counter: 26606
key: 77f9f733d2cb72be4604345029e9e29e
Counter: 29462
key: 4fc5903dd24d0aa578be9d3f57c9a4d2
Counter: 29389
key: 082c13a90c7103c40d1b06774b2ec20a
Counter: 26701
key: c7c1be932916028fa1ac0ace42b91eb5
Counter: 25237
key: 605532a6f5f71cec98695e748c71665c
Counter: 26319
key: 26e4b6ac77f687be2096d3b6c5fb8fa2
Counter: 25662
key: 71aae13a28930bd3c5339349187c9869
Counter: 26781
key: 11f70caf9893939631c4b358f472d1df
Counter: 26291
key: 18cd9ade0fb18986594abc23a3d6c4bb
Counter: 25430
key: b01c9146b8adb965f20d59904dd40863
Counter: 26034
key: 5d3d8692656aac111c668650916261ab
Counter: 26743
key: 6a30ebae08d7409da812fdf641a68530
Counter: 26430
key: 90626c698f63a4b51ff35353411178b9
Counter: 26127
key: 10e0089ccffa5c0aaeae5d18ffed1ba4
Counter: 29037
key: 21a4838f9493e121727db79f0c6d31dc
Counter: 25835
key: 95d42447fb92f71ca081dbbb5e80aa7f
Counter: 29153
key: 61b8d8af6178d7bf531fefdd8ec2a3b1
Counter: 25780
key: 1a7d8319f44a8ec0ea5c79e021b6f532
Counter: 26109
key: 12b77babb900a64e452250f48c5a787e
Counter: 25951
key: 25b47c618d9efc8a45a64c02ed95152a
Counter: 26813
key: 8d044eaa7b41e7939a0d1c1a50b991f6
Counter: 29711
key: 40fc5481510561a6971aa30fc58d0a04
Counter: 29508
key: 3b6c2657c94e5931251230ddd1d2c898
Counter: 24845
key: 09a53945d9860db2ccc9ede38805be84
Counter: 26045
key: 7d12b464952720ead197e3365f069edf
Counter: 26309
key: 415765e8750979ad8b4aac120e04fd7a
Counter: 24178
key: 067b6e11703edddb5c4d2151c4819929
Counter: 25178
key: cd33e7576dadec42c82e98547d3a4c95
Counter: 24030
key: b514ea7faa2b9f92715fd2dbd2e0d47a
Counter: 28507
key: f6c0f6903f58bbdc9f7b81b3676ff420
Counter: 26327
key: f9e3285f73ca39c65439a6b44866f87e
Counter: 26509
key: 443b72b959c9bf112fb6187654bc4b01
Counter: 24734
key: de7abea5cc47bd9714f39d611fecd1b8
Counter: 29397
key: dbf41f3614da3a961369888e056c22ed
Counter: 25937
key: 42ee4a4b1341ea4606a0d6a1cf3c0e02
Counter: 26012
key: 2980221a07f920a2388d4bd5c1f8eb76
Counter: 24316
key: f905604f9936451b81cbe5f399b7242f
Counter: 29240
key: c05d0faae85d4afb9f0f4f7934e8b755
Counter: 28990
key: 8a608d6cda4f4445d7a57889498db373
Counter: 25923
key: eb3f9f7dc1d963dfcb9ff5a70a6b5caf
Counter: 28655
key: 8f3a4f70875529a849f58311063a7a8c
Counter: 28706
key: 82f9ebc6384463a3277470af9bc30f6b
Counter: 26498
key: 430c43b4db3d736e676f825336e654ba
Counter: 28456
key: 0832b245d6077394e3d035c7f4861f36
Counter: 26695
key: 84b20bf49b4941a19cc702cd61746e03
Counter: 24312
key: 94159688753a9be98aecb195c907e056
Counter: 24207
key: f8b6af7fda4564323955cc315552451f
Counter: 29285
key: 95c0ce0d143dd03e895630d9fa6bf9b6
Counter: 28802
key: 783020ef63286911757a4b4f87adccef
Counter: 26494
key: 479bab21bbee8ef0c8aa3af4b83740a2
Counter: 25137
key: 18951b3bb9abb9ab24327d5f89556e24
Counter: 25898
key: 2ea0bb78ac726016c7048a1504c3fda4
Counter: 26682
key: f9305154530307cbebe99751653ebf5c
Counter: 24539
key: 73e91d59f7862b3ed3e9014f3c2f7596
Counter: 26204
key: 685425ef9f508bade783819dbf721a0a
Counter: 25890
key: 11e6dc408b037740c37209a1369cb2e1
Counter: 29238
key: bbb18651dea30e3235b5b14f272b2d81
Counter: 29453
key: 7ce620aaf859c2479036dd9f89b08c40
Counter: 26240
key: b17db4b52cc243f5970dc262fc2c28af
Counter: 25802
key: 0ed6e2b8c199751312d06406da3483b2
Counter: 29216
key: 7779693025cd8a83eeb24f619f0c6395
Counter: 28705
key: 13664cf78c18d60ed5deb8f241ca62c8
Counter: 29241
key: 2b43c836853f721868d05e7590661e19
Counter: 24811
key: cd64749880c58ed5127c61814c472fbc
Counter: 29162
key: 7f7bc9c65699b70ad7a90445391598e5
Counter: 25175
key: 24120f4a40042792c8d6f9bcd394364e
Counter: 25380
key: a986ddc03b9ade1972e6844a58a734e9
Counter: 26262
