#Keys           100
#Texts/Key  1048576
#Steps            2
Alpha: 0000000028000010
Delta: 8100810200000000
key: 072d220756dc1a5613a7e0c50f7059a8
Counter: 29699
key: 7c41fa0c5faeb4a4249349a1400f8656
Counter: 30051
key: c788d294b3d02c4320835b5e857e6a17
Counter: 29487
key: 1f6f24042eacb31910056eed9c145acb
Counter: 28953
key: 9dabd9f684bee8d8c37d60045859f4df
Counter: 29247
key: 28d15cd02766c890160a9f22b0bb82da
Counter: 30070
key: 928b1f6316062fae0fd8f2d4bdbecedd
Counter: 29565
key: 376d06dd9ee910dc5e33a9b5d7204517
Counter: 29012
key: 63d89484cdda9fdbcdbd89fa488acf87
Counter: 29359
key: 651e2e1166068187cb10f38be23687a4
Counter: 29890
key: 66b1b63315fbff2bd87ca6e70d47d330
Counter: 29641
key: 5c0fd17ed455ef3f5bcaeb2cc1a28805
Counter: 29377
key: 844543b67d788b913d3b836fe22b91ea
Counter: 28396
key: 4b9c1c622e5266de09bab725e95bcbc2
Counter: 28798
key: 05a743dc21502ebd6ab3d6fe9445da20
Counter: 28753
key: c9323332aef28d58f564036c34fe75a9
Counter: 29199
key: f597885b340faaa6cb7b7f1e61ef2bae
Counter: 29422
key: 9734a93bea6bef50585251c325fc6431
Counter: 28735
key: 732e40e7e3c68039ca1610c35969093b
Counter: 28448
key: d0f7a481114e088edf75d2931b2cad24
Counter: 30035
key: 46524fe5dc6d2fd72a8b16a2a325a85d
Counter: 29952
key: 393e2ab6ff0d97394ec5478b6dd04a98
Counter: 29727
key: d4cdd470bdcf118e8d01fb8de79eef5f
Counter: 29488
key: b7cbc906ec8d7b7b36c678d8b0662dee
Counter: 29303
key: bcd5bb3a5d90ccfbb61df62884538291
Counter: 28328
key: ee83ab035b11bdd74ddd5d9b393f4b31
Counter: 28598
key: 2adab4306c4a315aa6bd44880439d515
Counter: 29754
key: 426508238993b16a599d92831dbcf616
Counter: 30222
key: 30033850094eb6c2afad8a3eb350772f
Counter: 28949
key: 0cc5eb8bd52208d06af10ae52c9c08ef
Counter: 29070
key: 9e6b61116eee0bc2f155317c0f689789
Counter: 29532
key: 2d45b6a27a2d0d1bd10502ac5ef1247b
Counter: 28352
key: 48ca079aa0a8500cb88aab0390ef4cf7
Counter: 29047
key: 4b176ac8fe393002b44a3f5ea9afc1ac
Counter: 29261
key: d424dc5c30f408fd7f6e2369e9485b30
Counter: 29782
